"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"X041017C1d150S1"	"X041017E1d150S2"	"X041917E1d14S1"	"X041917F1d14S2"
"1"	"Cd200"	2289.56115822735	3.83332234752745	0.270174388519205	14.1883261716162	1.08210829379683e-45	5.77845828887505e-42	250.73493088305	291.820867274847	4656.47526386126	3959.21357089025
"2"	"Mal"	189.001666157368	6.08576725123198	0.610899541978015	9.96197710596907	2.23571675369055e-23	5.96936373235377e-20	0	0	538.442553120908	217.564111508565
"3"	"Zfp451"	348.930568659086	4.71085853170749	0.498791110106615	9.44455191011837	3.56928190038751e-21	6.35332178268977e-18	14.2260953692511	13.8962317749927	384.028860047128	983.571087444973
"4"	"Cd209b"	126.894736877575	5.76915130740891	0.613775984095843	9.39944125690659	5.48535827022732e-21	7.32295329075347e-18	0	0	209.56144060013	298.01750691017
"5"	"Slc34a3"	112.457368708937	5.60261142457321	0.619114706787368	9.04939159601873	1.4376711870069e-19	1.27952735643614e-16	0	0	200.537263732182	249.292211103565
"6"	"Tcf23"	2453.21381059312	3.06145685576367	0.337585304651035	9.06869112365043	1.2045522843295e-19	1.27952735643614e-16	497.913337923788	426.151107766444	3184.53174806704	5704.2590486152
"7"	"Zbtb20"	637.296269842429	-2.36792211739856	0.313410945675115	-7.55532680040209	4.17809463315136e-14	3.18728933443261e-11	1135.42023665835	1031.10039770446	185.496968952268	197.167476054637
"8"	"Fam199x"	2192.97935918181	-1.87325542174482	0.251375144678352	-7.45203120277366	9.19139790873936e-14	6.13525810408352e-11	3485.39336546652	3471.27869739318	871.334410916329	943.910962951224
"9"	"Thbs3"	1323.19694779571	2.78166213460296	0.387723505228859	7.17434485423072	7.26542611075019e-13	4.31081949237844e-10	315.641491005258	258.469911014865	1496.00798744207	3222.66840172063
"10"	"2610318N02Rik"	199.491298712147	3.09645414295151	0.437526437968763	7.07718179803476	1.47115486585815e-12	6.88429012600564e-10	33.7869765019713	31.4981253566502	351.942897849979	380.737195139989
"11"	"Cdc45"	505.401076403808	2.46015718709572	0.347084293814228	7.08806831925529	1.35996835082488e-12	6.88429012600564e-10	144.039215613667	136.183071394929	751.01205267702	990.369965929615
"12"	"Igfn1"	2219.42790560717	-1.86256978872303	0.263439229227101	-7.07020664381528	1.54703148899003e-12	6.88429012600564e-10	3810.81529703813	3225.77860270165	968.594983826437	872.522738862476
"13"	"4930429F11Rik"	418.936177477525	-2.69397481612303	0.391150847501998	-6.88730404990179	5.68596120459712e-12	2.33561791019605e-09	689.965625408678	793.938042077918	119.319671920648	72.5213705028551
"14"	"Pros1"	187.112167874104	-3.22070573547429	0.478379280834233	-6.73253601171394	1.66731102380849e-11	6.3596006193838e-09	270.295812015771	426.151107766444	27.0725306038445	24.9292211103565
